Grupo de edad,Sexo,Fecha,Casos confirmados
00 - 04 años,M,2020-03-25,4
05 - 09 años,M,2020-03-25,2
10 - 14 años,M,2020-03-25,7
15 - 19 años,M,2020-03-25,8
20 - 24 años,M,2020-03-25,25
25 - 29 años,M,2020-03-25,61
30 - 34 años,M,2020-03-25,88
35 - 39 años,M,2020-03-25,72
40 - 44 años,M,2020-03-25,62
45 - 49 años,M,2020-03-25,47
50 - 54 años,M,2020-03-25,28
55 - 59 años,M,2020-03-25,30
60 - 64 años,M,2020-03-25,18
65 - 69 años,M,2020-03-25,14
70 - 74 años,M,2020-03-25,16
75 - 79 años,M,2020-03-25,8
80 y más años,M,2020-03-25,6
00 - 04 años,F,2020-03-25,6
05 - 09 años,F,2020-03-25,4
10 - 14 años,F,2020-03-25,2
15 - 19 años,F,2020-03-25,12
20 - 24 años,F,2020-03-25,43
25 - 29 años,F,2020-03-25,65
30 - 34 años,F,2020-03-25,80
35 - 39 años,F,2020-03-25,79
40 - 44 años,F,2020-03-25,63
45 - 49 años,F,2020-03-25,48
50 - 54 años,F,2020-03-25,33
55 - 59 años,F,2020-03-25,28
60 - 64 años,F,2020-03-25,27
65 - 69 años,F,2020-03-25,10
70 - 74 años,F,2020-03-25,7
75 - 79 años,F,2020-03-25,7
80 y más años,F,2020-03-25,2
00 - 04 años,M,2020-03-26,5
05 - 09 años,M,2020-03-26,2
10 - 14 años,M,2020-03-26,8
15 - 19 años,M,2020-03-26,9
20 - 24 años,M,2020-03-26,32
25 - 29 años,M,2020-03-26,75
30 - 34 años,M,2020-03-26,106
35 - 39 años,M,2020-03-26,86
40 - 44 años,M,2020-03-26,71
45 - 49 años,M,2020-03-26,55
50 - 54 años,M,2020-03-26,45
55 - 59 años,M,2020-03-26,34
60 - 64 años,M,2020-03-26,26
65 - 69 años,M,2020-03-26,18
70 - 74 años,M,2020-03-26,21
75 - 79 años,M,2020-03-26,8
80 y más años,M,2020-03-26,9
00 - 04 años,F,2020-03-26,7
05 - 09 años,F,2020-03-26,5
10 - 14 años,F,2020-03-26,3
15 - 19 años,F,2020-03-26,14
20 - 24 años,F,2020-03-26,50
25 - 29 años,F,2020-03-26,77
30 - 34 años,F,2020-03-26,98
35 - 39 años,F,2020-03-26,95
40 - 44 años,F,2020-03-26,82
45 - 49 años,F,2020-03-26,60
50 - 54 años,F,2020-03-26,46
55 - 59 años,F,2020-03-26,37
60 - 64 años,F,2020-03-26,34
65 - 69 años,F,2020-03-26,13
70 - 74 años,F,2020-03-26,11
75 - 79 años,F,2020-03-26,8
80 y más años,F,2020-03-26,2
00 - 04 años,M,2020-03-27,5
05 - 09 años,M,2020-03-27,2
10 - 14 años,M,2020-03-27,8
15 - 19 años,M,2020-03-27,13
20 - 24 años,M,2020-03-27,35
25 - 29 años,M,2020-03-27,87
30 - 34 años,M,2020-03-27,115
35 - 39 años,M,2020-03-27,96
40 - 44 años,M,2020-03-27,82
45 - 49 años,M,2020-03-27,69
50 - 54 años,M,2020-03-27,53
55 - 59 años,M,2020-03-27,44
60 - 64 años,M,2020-03-27,31
65 - 69 años,M,2020-03-27,23
70 - 74 años,M,2020-03-27,23
75 - 79 años,M,2020-03-27,9
80 y más años,M,2020-03-27,9
00 - 04 años,F,2020-03-27,7
05 - 09 años,F,2020-03-27,5
10 - 14 años,F,2020-03-27,4
15 - 19 años,F,2020-03-27,16
20 - 24 años,F,2020-03-27,54
25 - 29 años,F,2020-03-27,91
30 - 34 años,F,2020-03-27,113
35 - 39 años,F,2020-03-27,103
40 - 44 años,F,2020-03-27,90
45 - 49 años,F,2020-03-27,69
50 - 54 años,F,2020-03-27,54
55 - 59 años,F,2020-03-27,39
60 - 64 años,F,2020-03-27,38
65 - 69 años,F,2020-03-27,20
70 - 74 años,F,2020-03-27,13
75 - 79 años,F,2020-03-27,11
80 y más años,F,2020-03-27,3
00 - 04 años,M,2020-03-28,5
05 - 09 años,M,2020-03-28,4
10 - 14 años,M,2020-03-28,10
15 - 19 años,M,2020-03-28,16
20 - 24 años,M,2020-03-28,46
25 - 29 años,M,2020-03-28,100
30 - 34 años,M,2020-03-28,137
35 - 39 años,M,2020-03-28,119
40 - 44 años,M,2020-03-28,97
45 - 49 años,M,2020-03-28,86
50 - 54 años,M,2020-03-28,72
55 - 59 años,M,2020-03-28,58
60 - 64 años,M,2020-03-28,39
65 - 69 años,M,2020-03-28,27
70 - 74 años,M,2020-03-28,26
75 - 79 años,M,2020-03-28,12
80 y más años,M,2020-03-28,13
00 - 04 años,F,2020-03-28,9
05 - 09 años,F,2020-03-28,6
10 - 14 años,F,2020-03-28,6
15 - 19 años,F,2020-03-28,17
20 - 24 años,F,2020-03-28,60
25 - 29 años,F,2020-03-28,109
30 - 34 años,F,2020-03-28,131
35 - 39 años,F,2020-03-28,115
40 - 44 años,F,2020-03-28,95
45 - 49 años,F,2020-03-28,79
50 - 54 años,F,2020-03-28,67
55 - 59 años,F,2020-03-28,54
60 - 64 años,F,2020-03-28,47
65 - 69 años,F,2020-03-28,25
70 - 74 años,F,2020-03-28,16
75 - 79 años,F,2020-03-28,13
80 y más años,F,2020-03-28,7
00 - 04 años,M,2020-03-29,5
05 - 09 años,M,2020-03-29,4
10 - 14 años,M,2020-03-29,10
15 - 19 años,M,2020-03-29,17
20 - 24 años,M,2020-03-29,52
25 - 29 años,M,2020-03-29,107
30 - 34 años,M,2020-03-29,139
35 - 39 años,M,2020-03-29,133
40 - 44 años,M,2020-03-29,112
45 - 49 años,M,2020-03-29,95
50 - 54 años,M,2020-03-29,74
55 - 59 años,M,2020-03-29,69
60 - 64 años,M,2020-03-29,52
65 - 69 años,M,2020-03-29,34
70 - 74 años,M,2020-03-29,27
75 - 79 años,M,2020-03-29,15
80 y más años,M,2020-03-29,14
00 - 04 años,F,2020-03-29,10
05 - 09 años,F,2020-03-29,9
10 - 14 años,F,2020-03-29,6
15 - 19 años,F,2020-03-29,20
20 - 24 años,F,2020-03-29,66
25 - 29 años,F,2020-03-29,118
30 - 34 años,F,2020-03-29,144
35 - 39 años,F,2020-03-29,124
40 - 44 años,F,2020-03-29,108
45 - 49 años,F,2020-03-29,92
50 - 54 años,F,2020-03-29,71
55 - 59 años,F,2020-03-29,58
60 - 64 años,F,2020-03-29,50
65 - 69 años,F,2020-03-29,29
70 - 74 años,F,2020-03-29,20
75 - 79 años,F,2020-03-29,13
80 y más años,F,2020-03-29,9
00 - 04 años,M,2020-03-30,5
05 - 09 años,M,2020-03-30,4
10 - 14 años,M,2020-03-30,10
15 - 19 años,M,2020-03-30,18
20 - 24 años,M,2020-03-30,58
25 - 29 años,M,2020-03-30,116
30 - 34 años,M,2020-03-30,149
35 - 39 años,M,2020-03-30,142
40 - 44 años,M,2020-03-30,125
45 - 49 años,M,2020-03-30,108
50 - 54 años,M,2020-03-30,83
55 - 59 años,M,2020-03-30,76
60 - 64 años,M,2020-03-30,56
65 - 69 años,M,2020-03-30,38
70 - 74 años,M,2020-03-30,30
75 - 79 años,M,2020-03-30,18
80 y más años,M,2020-03-30,15
00 - 04 años,F,2020-03-30,10
05 - 09 años,F,2020-03-30,9
10 - 14 años,F,2020-03-30,9
15 - 19 años,F,2020-03-30,25
20 - 24 años,F,2020-03-30,66
25 - 29 años,F,2020-03-30,131
30 - 34 años,F,2020-03-30,160
35 - 39 años,F,2020-03-30,129
40 - 44 años,F,2020-03-30,113
45 - 49 años,F,2020-03-30,105
50 - 54 años,F,2020-03-30,79
55 - 59 años,F,2020-03-30,66
60 - 64 años,F,2020-03-30,53
65 - 69 años,F,2020-03-30,35
70 - 74 años,F,2020-03-30,22
75 - 79 años,F,2020-03-30,14
80 y más años,F,2020-03-30,11
00 - 04 años,M,2020-03-31,6
05 - 09 años,M,2020-03-31,4
10 - 14 años,M,2020-03-31,10
15 - 19 años,M,2020-03-31,22
20 - 24 años,M,2020-03-31,64
25 - 29 años,M,2020-03-31,128
30 - 34 años,M,2020-03-31,170
35 - 39 años,M,2020-03-31,158
40 - 44 años,M,2020-03-31,141
45 - 49 años,M,2020-03-31,125
50 - 54 años,M,2020-03-31,95
55 - 59 años,M,2020-03-31,86
60 - 64 años,M,2020-03-31,65
65 - 69 años,M,2020-03-31,45
70 - 74 años,M,2020-03-31,31
75 - 79 años,M,2020-03-31,19
80 y más años,M,2020-03-31,18
00 - 04 años,F,2020-03-31,12
05 - 09 años,F,2020-03-31,11
10 - 14 años,F,2020-03-31,12
15 - 19 años,F,2020-03-31,29
20 - 24 años,F,2020-03-31,77
25 - 29 años,F,2020-03-31,151
30 - 34 años,F,2020-03-31,179
35 - 39 años,F,2020-03-31,149
40 - 44 años,F,2020-03-31,125
45 - 49 años,F,2020-03-31,120
50 - 54 años,F,2020-03-31,89
55 - 59 años,F,2020-03-31,78
60 - 64 años,F,2020-03-31,61
65 - 69 años,F,2020-03-31,38
70 - 74 años,F,2020-03-31,25
75 - 79 años,F,2020-03-31,17
80 y más años,F,2020-03-31,13
00 - 04 años,M,2020-04-01,7
05 - 09 años,M,2020-04-01,7
10 - 14 años,M,2020-04-01,12
15 - 19 años,M,2020-04-01,26
20 - 24 años,M,2020-04-01,72
25 - 29 años,M,2020-04-01,147
30 - 34 años,M,2020-04-01,188
35 - 39 años,M,2020-04-01,174
40 - 44 años,M,2020-04-01,157
45 - 49 años,M,2020-04-01,139
50 - 54 años,M,2020-04-01,117
55 - 59 años,M,2020-04-01,107
60 - 64 años,M,2020-04-01,78
65 - 69 años,M,2020-04-01,50
70 - 74 años,M,2020-04-01,41
75 - 79 años,M,2020-04-01,25
80 y más años,M,2020-04-01,22
00 - 04 años,F,2020-04-01,12
05 - 09 años,F,2020-04-01,12
10 - 14 años,F,2020-04-01,13
15 - 19 años,F,2020-04-01,32
20 - 24 años,F,2020-04-01,93
25 - 29 años,F,2020-04-01,172
30 - 34 años,F,2020-04-01,205
35 - 39 años,F,2020-04-01,163
40 - 44 años,F,2020-04-01,154
45 - 49 años,F,2020-04-01,134
50 - 54 años,F,2020-04-01,110
55 - 59 años,F,2020-04-01,89
60 - 64 años,F,2020-04-01,70
65 - 69 años,F,2020-04-01,45
70 - 74 años,F,2020-04-01,32
75 - 79 años,F,2020-04-01,22
80 y más años,F,2020-04-01,17
00 - 04 años,M,2020-04-02,7
05 - 09 años,M,2020-04-02,7
10 - 14 años,M,2020-04-02,12
15 - 19 años,M,2020-04-02,27
20 - 24 años,M,2020-04-02,84
25 - 29 años,M,2020-04-02,154
30 - 34 años,M,2020-04-02,199
35 - 39 años,M,2020-04-02,185
40 - 44 años,M,2020-04-02,164
45 - 49 años,M,2020-04-02,151
50 - 54 años,M,2020-04-02,124
55 - 59 años,M,2020-04-02,116
60 - 64 años,M,2020-04-02,83
65 - 69 años,M,2020-04-02,55
70 - 74 años,M,2020-04-02,43
75 - 79 años,M,2020-04-02,27
80 y más años,M,2020-04-02,25
00 - 04 años,F,2020-04-02,12
05 - 09 años,F,2020-04-02,12
10 - 14 años,F,2020-04-02,15
15 - 19 años,F,2020-04-02,35
20 - 24 años,F,2020-04-02,101
25 - 29 años,F,2020-04-02,182
30 - 34 años,F,2020-04-02,221
35 - 39 años,F,2020-04-02,181
40 - 44 años,F,2020-04-02,160
45 - 49 años,F,2020-04-02,141
50 - 54 años,F,2020-04-02,119
55 - 59 años,F,2020-04-02,94
60 - 64 años,F,2020-04-02,78
65 - 69 años,F,2020-04-02,48
70 - 74 años,F,2020-04-02,33
75 - 79 años,F,2020-04-02,24
80 y más años,F,2020-04-02,19
00 - 04 años,M,2020-04-03,8
05 - 09 años,M,2020-04-03,9
10 - 14 años,M,2020-04-03,13
15 - 19 años,M,2020-04-03,34
20 - 24 años,M,2020-04-03,99
25 - 29 años,M,2020-04-03,187
30 - 34 años,M,2020-04-03,226
35 - 39 años,M,2020-04-03,213
40 - 44 años,M,2020-04-03,188
45 - 49 años,M,2020-04-03,171
50 - 54 años,M,2020-04-03,142
55 - 59 años,M,2020-04-03,130
60 - 64 años,M,2020-04-03,91
65 - 69 años,M,2020-04-03,63
70 - 74 años,M,2020-04-03,48
75 - 79 años,M,2020-04-03,35
80 y más años,M,2020-04-03,27
00 - 04 años,F,2020-04-03,13
05 - 09 años,F,2020-04-03,15
10 - 14 años,F,2020-04-03,17
15 - 19 años,F,2020-04-03,43
20 - 24 años,F,2020-04-03,119
25 - 29 años,F,2020-04-03,222
30 - 34 años,F,2020-04-03,254
35 - 39 años,F,2020-04-03,206
40 - 44 años,F,2020-04-03,180
45 - 49 años,F,2020-04-03,156
50 - 54 años,F,2020-04-03,139
55 - 59 años,F,2020-04-03,110
60 - 64 años,F,2020-04-03,90
65 - 69 años,F,2020-04-03,52
70 - 74 años,F,2020-04-03,43
75 - 79 años,F,2020-04-03,29
80 y más años,F,2020-04-03,26
00 - 04 años,M,2020-04-04,10
05 - 09 años,M,2020-04-04,10
10 - 14 años,M,2020-04-04,16
15 - 19 años,M,2020-04-04,37
20 - 24 años,M,2020-04-04,118
25 - 29 años,M,2020-04-04,222
30 - 34 años,M,2020-04-04,251
35 - 39 años,M,2020-04-04,234
40 - 44 años,M,2020-04-04,202
45 - 49 años,M,2020-04-04,192
50 - 54 años,M,2020-04-04,158
55 - 59 años,M,2020-04-04,139
60 - 64 años,M,2020-04-04,107
65 - 69 años,M,2020-04-04,70
70 - 74 años,M,2020-04-04,57
75 - 79 años,M,2020-04-04,43
80 y más años,M,2020-04-04,31
00 - 04 años,F,2020-04-04,13
05 - 09 años,F,2020-04-04,15
10 - 14 años,F,2020-04-04,20
15 - 19 años,F,2020-04-04,48
20 - 24 años,F,2020-04-04,130
25 - 29 años,F,2020-04-04,247
30 - 34 años,F,2020-04-04,267
35 - 39 años,F,2020-04-04,228
40 - 44 años,F,2020-04-04,194
45 - 49 años,F,2020-04-04,174
50 - 54 años,F,2020-04-04,154
55 - 59 años,F,2020-04-04,124
60 - 64 años,F,2020-04-04,99
65 - 69 años,F,2020-04-04,60
70 - 74 años,F,2020-04-04,50
75 - 79 años,F,2020-04-04,35
80 y más años,F,2020-04-04,30
00 - 04 años,M,2020-04-05,9
05 - 09 años,M,2020-04-05,11
10 - 14 años,M,2020-04-05,21
15 - 19 años,M,2020-04-05,42
20 - 24 años,M,2020-04-05,125
25 - 29 años,M,2020-04-05,236
30 - 34 años,M,2020-04-05,274
35 - 39 años,M,2020-04-05,251
40 - 44 años,M,2020-04-05,220
45 - 49 años,M,2020-04-05,206
50 - 54 años,M,2020-04-05,170
55 - 59 años,M,2020-04-05,148
60 - 64 años,M,2020-04-05,110
65 - 69 años,M,2020-04-05,75
70 - 74 años,M,2020-04-05,61
75 - 79 años,M,2020-04-05,46
80 y más años,M,2020-04-05,37
00 - 04 años,F,2020-04-05,13
05 - 09 años,F,2020-04-05,16
10 - 14 años,F,2020-04-05,20
15 - 19 años,F,2020-04-05,52
20 - 24 años,F,2020-04-05,138
25 - 29 años,F,2020-04-05,266
30 - 34 años,F,2020-04-05,281
35 - 39 años,F,2020-04-05,252
40 - 44 años,F,2020-04-05,209
45 - 49 años,F,2020-04-05,196
50 - 54 años,F,2020-04-05,172
55 - 59 años,F,2020-04-05,130
60 - 64 años,F,2020-04-05,105
65 - 69 años,F,2020-04-05,64
70 - 74 años,F,2020-04-05,56
75 - 79 años,F,2020-04-05,39
80 y más años,F,2020-04-05,31
00 - 04 años,M,2020-04-06,11
05 - 09 años,M,2020-04-06,13
10 - 14 años,M,2020-04-06,23
15 - 19 años,M,2020-04-06,50
20 - 24 años,M,2020-04-06,138
25 - 29 años,M,2020-04-06,252
30 - 34 años,M,2020-04-06,295
35 - 39 años,M,2020-04-06,263
40 - 44 años,M,2020-04-06,234
45 - 49 años,M,2020-04-06,221
50 - 54 años,M,2020-04-06,180
55 - 59 años,M,2020-04-06,159
60 - 64 años,M,2020-04-06,115
65 - 69 años,M,2020-04-06,82
70 - 74 años,M,2020-04-06,67
75 - 79 años,M,2020-04-06,48
80 y más años,M,2020-04-06,40
00 - 04 años,F,2020-04-06,15
05 - 09 años,F,2020-04-06,16
10 - 14 años,F,2020-04-06,23
15 - 19 años,F,2020-04-06,56
20 - 24 años,F,2020-04-06,144
25 - 29 años,F,2020-04-06,281
30 - 34 años,F,2020-04-06,297
35 - 39 años,F,2020-04-06,263
40 - 44 años,F,2020-04-06,217
45 - 49 años,F,2020-04-06,204
50 - 54 años,F,2020-04-06,180
55 - 59 años,F,2020-04-06,143
60 - 64 años,F,2020-04-06,113
65 - 69 años,F,2020-04-06,67
70 - 74 años,F,2020-04-06,58
75 - 79 años,F,2020-04-06,41
80 y más años,F,2020-04-06,37
00 - 04 años,M,2020-04-07,12
05 - 09 años,M,2020-04-07,14
10 - 14 años,M,2020-04-07,23
15 - 19 años,M,2020-04-07,52
20 - 24 años,M,2020-04-07,145
25 - 29 años,M,2020-04-07,268
30 - 34 años,M,2020-04-07,310
35 - 39 años,M,2020-04-07,276
40 - 44 años,M,2020-04-07,246
45 - 49 años,M,2020-04-07,234
50 - 54 años,M,2020-04-07,190
55 - 59 años,M,2020-04-07,170
60 - 64 años,M,2020-04-07,126
65 - 69 años,M,2020-04-07,91
70 - 74 años,M,2020-04-07,73
75 - 79 años,M,2020-04-07,50
80 y más años,M,2020-04-07,46
00 - 04 años,F,2020-04-07,16
05 - 09 años,F,2020-04-07,18
10 - 14 años,F,2020-04-07,25
15 - 19 años,F,2020-04-07,64
20 - 24 años,F,2020-04-07,150
25 - 29 años,F,2020-04-07,298
30 - 34 años,F,2020-04-07,309
35 - 39 años,F,2020-04-07,277
40 - 44 años,F,2020-04-07,232
45 - 49 años,F,2020-04-07,214
50 - 54 años,F,2020-04-07,194
55 - 59 años,F,2020-04-07,153
60 - 64 años,F,2020-04-07,124
65 - 69 años,F,2020-04-07,74
70 - 74 años,F,2020-04-07,60
75 - 79 años,F,2020-04-07,42
80 y más años,F,2020-04-07,41
00 - 04 años,M,2020-04-08,18
05 - 09 años,M,2020-04-08,17
10 - 14 años,M,2020-04-08,31
15 - 19 años,M,2020-04-08,56
20 - 24 años,M,2020-04-08,175
25 - 29 años,M,2020-04-08,312
30 - 34 años,M,2020-04-08,353
35 - 39 años,M,2020-04-08,324
40 - 44 años,M,2020-04-08,284
45 - 49 años,M,2020-04-08,274
50 - 54 años,M,2020-04-08,220
55 - 59 años,M,2020-04-08,197
60 - 64 años,M,2020-04-08,145
65 - 69 años,M,2020-04-08,101
70 - 74 años,M,2020-04-08,86
75 - 79 años,M,2020-04-08,60
80 y más años,M,2020-04-08,54
00 - 04 años,F,2020-04-08,21
05 - 09 años,F,2020-04-08,23
10 - 14 años,F,2020-04-08,34
15 - 19 años,F,2020-04-08,78
20 - 24 años,F,2020-04-08,177
25 - 29 años,F,2020-04-08,344
30 - 34 años,F,2020-04-08,357
35 - 39 años,F,2020-04-08,316
40 - 44 años,F,2020-04-08,272
45 - 49 años,F,2020-04-08,249
50 - 54 años,F,2020-04-08,237
55 - 59 años,F,2020-04-08,185
60 - 64 años,F,2020-04-08,138
65 - 69 años,F,2020-04-08,84
70 - 74 años,F,2020-04-08,69
75 - 79 años,F,2020-04-08,48
80 y más años,F,2020-04-08,58
00 - 04 años,M,2020-04-09,22
05 - 09 años,M,2020-04-09,18
10 - 14 años,M,2020-04-09,34
15 - 19 años,M,2020-04-09,60
20 - 24 años,M,2020-04-09,192
25 - 29 años,M,2020-04-09,332
30 - 34 años,M,2020-04-09,372
35 - 39 años,M,2020-04-09,340
40 - 44 años,M,2020-04-09,308
45 - 49 años,M,2020-04-09,289
50 - 54 años,M,2020-04-09,234
55 - 59 años,M,2020-04-09,216
60 - 64 años,M,2020-04-09,155
65 - 69 años,M,2020-04-09,110
70 - 74 años,M,2020-04-09,92
75 - 79 años,M,2020-04-09,66
80 y más años,M,2020-04-09,59
00 - 04 años,F,2020-04-09,27
05 - 09 años,F,2020-04-09,30
10 - 14 años,F,2020-04-09,36
15 - 19 años,F,2020-04-09,85
20 - 24 años,F,2020-04-09,205
25 - 29 años,F,2020-04-09,372
30 - 34 años,F,2020-04-09,378
35 - 39 años,F,2020-04-09,334
40 - 44 años,F,2020-04-09,290
45 - 49 años,F,2020-04-09,266
50 - 54 años,F,2020-04-09,251
55 - 59 años,F,2020-04-09,202
60 - 64 años,F,2020-04-09,148
65 - 69 años,F,2020-04-09,89
70 - 74 años,F,2020-04-09,74
75 - 79 años,F,2020-04-09,52
80 y más años,F,2020-04-09,72
00 - 04 años,M,2020-04-10,30
05 - 09 años,M,2020-04-10,20
10 - 14 años,M,2020-04-10,37
15 - 19 años,M,2020-04-10,65
20 - 24 años,M,2020-04-10,209
25 - 29 años,M,2020-04-10,366
30 - 34 años,M,2020-04-10,405
35 - 39 años,M,2020-04-10,372
40 - 44 años,M,2020-04-10,327
45 - 49 años,M,2020-04-10,303
50 - 54 años,M,2020-04-10,259
55 - 59 años,M,2020-04-10,232
60 - 64 años,M,2020-04-10,171
65 - 69 años,M,2020-04-10,119
70 - 74 años,M,2020-04-10,100
75 - 79 años,M,2020-04-10,70
80 y más años,M,2020-04-10,65
00 - 04 años,F,2020-04-10,30
05 - 09 años,F,2020-04-10,31
10 - 14 años,F,2020-04-10,39
15 - 19 años,F,2020-04-10,89
20 - 24 años,F,2020-04-10,217
25 - 29 años,F,2020-04-10,403
30 - 34 años,F,2020-04-10,413
35 - 39 años,F,2020-04-10,358
40 - 44 años,F,2020-04-10,314
45 - 49 años,F,2020-04-10,283
50 - 54 años,F,2020-04-10,271
55 - 59 años,F,2020-04-10,213
60 - 64 años,F,2020-04-10,155
65 - 69 años,F,2020-04-10,99
70 - 74 años,F,2020-04-10,82
75 - 79 años,F,2020-04-10,57
80 y más años,F,2020-04-10,88
00 - 04 años,M,2020-04-11,37
05 - 09 años,M,2020-04-11,27
10 - 14 años,M,2020-04-11,40
15 - 19 años,M,2020-04-11,69
20 - 24 años,M,2020-04-11,235
25 - 29 años,M,2020-04-11,389
30 - 34 años,M,2020-04-11,431
35 - 39 años,M,2020-04-11,384
40 - 44 años,M,2020-04-11,338
45 - 49 años,M,2020-04-11,326
50 - 54 años,M,2020-04-11,270
55 - 59 años,M,2020-04-11,245
60 - 64 años,M,2020-04-11,182
65 - 69 años,M,2020-04-11,125
70 - 74 años,M,2020-04-11,106
75 - 79 años,M,2020-04-11,74
80 y más años,M,2020-04-11,74
00 - 04 años,F,2020-04-11,32
05 - 09 años,F,2020-04-11,33
10 - 14 años,F,2020-04-11,42
15 - 19 años,F,2020-04-11,99
20 - 24 años,F,2020-04-11,230
25 - 29 años,F,2020-04-11,432
30 - 34 años,F,2020-04-11,440
35 - 39 años,F,2020-04-11,382
40 - 44 años,F,2020-04-11,329
45 - 49 años,F,2020-04-11,304
50 - 54 años,F,2020-04-11,282
55 - 59 años,F,2020-04-11,225
60 - 64 años,F,2020-04-11,166
65 - 69 años,F,2020-04-11,111
70 - 74 años,F,2020-04-11,87
75 - 79 años,F,2020-04-11,61
80 y más años,F,2020-04-11,95
00 - 04 años,M,2020-04-12,39
05 - 09 años,M,2020-04-12,27
10 - 14 años,M,2020-04-12,46
15 - 19 años,M,2020-04-12,73
20 - 24 años,M,2020-04-12,243
25 - 29 años,M,2020-04-12,409
30 - 34 años,M,2020-04-12,440
35 - 39 años,M,2020-04-12,399
40 - 44 años,M,2020-04-12,358
45 - 49 años,M,2020-04-12,342
50 - 54 años,M,2020-04-12,284
55 - 59 años,M,2020-04-12,258
60 - 64 años,M,2020-04-12,190
65 - 69 años,M,2020-04-12,130
70 - 74 años,M,2020-04-12,108
75 - 79 años,M,2020-04-12,77
80 y más años,M,2020-04-12,78
00 - 04 años,F,2020-04-12,36
05 - 09 años,F,2020-04-12,35
10 - 14 años,F,2020-04-12,44
15 - 19 años,F,2020-04-12,104
20 - 24 años,F,2020-04-12,239
25 - 29 años,F,2020-04-12,458
30 - 34 años,F,2020-04-12,470
35 - 39 años,F,2020-04-12,392
40 - 44 años,F,2020-04-12,342
45 - 49 años,F,2020-04-12,319
50 - 54 años,F,2020-04-12,294
55 - 59 años,F,2020-04-12,232
60 - 64 años,F,2020-04-12,175
65 - 69 años,F,2020-04-12,116
70 - 74 años,F,2020-04-12,94
75 - 79 años,F,2020-04-12,64
80 y más años,F,2020-04-12,101
00 - 04 años,M,2020-04-13,38
05 - 09 años,M,2020-04-13,27
10 - 14 años,M,2020-04-13,51
15 - 19 años,M,2020-04-13,77
20 - 24 años,M,2020-04-13,252
25 - 29 años,M,2020-04-13,434
30 - 34 años,M,2020-04-13,469
35 - 39 años,M,2020-04-13,423
40 - 44 años,M,2020-04-13,387
45 - 49 años,M,2020-04-13,357
50 - 54 años,M,2020-04-13,308
55 - 59 años,M,2020-04-13,268
60 - 64 años,M,2020-04-13,201
65 - 69 años,M,2020-04-13,135
70 - 74 años,M,2020-04-13,112
75 - 79 años,M,2020-04-13,80
80 y más años,M,2020-04-13,80
00 - 04 años,F,2020-04-13,39
05 - 09 años,F,2020-04-13,37
10 - 14 años,F,2020-04-13,48
15 - 19 años,F,2020-04-13,108
20 - 24 años,F,2020-04-13,253
25 - 29 años,F,2020-04-13,477
30 - 34 años,F,2020-04-13,494
35 - 39 años,F,2020-04-13,419
40 - 44 años,F,2020-04-13,369
45 - 49 años,F,2020-04-13,338
50 - 54 años,F,2020-04-13,315
55 - 59 años,F,2020-04-13,243
60 - 64 años,F,2020-04-13,188
65 - 69 años,F,2020-04-13,119
70 - 74 años,F,2020-04-13,95
75 - 79 años,F,2020-04-13,64
80 y más años,F,2020-04-13,107
00 - 04 años,M,2020-04-14,41
05 - 09 años,M,2020-04-14,29
10 - 14 años,M,2020-04-14,53
15 - 19 años,M,2020-04-14,79
20 - 24 años,M,2020-04-14,274
25 - 29 años,M,2020-04-14,457
30 - 34 años,M,2020-04-14,494
35 - 39 años,M,2020-04-14,438
40 - 44 años,M,2020-04-14,393
45 - 49 años,M,2020-04-14,363
50 - 54 años,M,2020-04-14,323
55 - 59 años,M,2020-04-14,275
60 - 64 años,M,2020-04-14,214
65 - 69 años,M,2020-04-14,144
70 - 74 años,M,2020-04-14,118
75 - 79 años,M,2020-04-14,81
80 y más años,M,2020-04-14,84
00 - 04 años,F,2020-04-14,41
05 - 09 años,F,2020-04-14,38
10 - 14 años,F,2020-04-14,48
15 - 19 años,F,2020-04-14,113
20 - 24 años,F,2020-04-14,264
25 - 29 años,F,2020-04-14,494
30 - 34 años,F,2020-04-14,515
35 - 39 años,F,2020-04-14,428
40 - 44 años,F,2020-04-14,387
45 - 49 años,F,2020-04-14,345
50 - 54 años,F,2020-04-14,317
55 - 59 años,F,2020-04-14,258
60 - 64 años,F,2020-04-14,199
65 - 69 años,F,2020-04-14,129
70 - 74 años,F,2020-04-14,100
75 - 79 años,F,2020-04-14,67
80 y más años,F,2020-04-14,113
00 - 04 años,M,2020-04-15,46
05 - 09 años,M,2020-04-15,32
10 - 14 años,M,2020-04-15,57
15 - 19 años,M,2020-04-15,86
20 - 24 años,M,2020-04-15,290
25 - 29 años,M,2020-04-15,486
30 - 34 años,M,2020-04-15,526
35 - 39 años,M,2020-04-15,461
40 - 44 años,M,2020-04-15,415
45 - 49 años,M,2020-04-15,386
50 - 54 años,M,2020-04-15,337
55 - 59 años,M,2020-04-15,295
60 - 64 años,M,2020-04-15,224
65 - 69 años,M,2020-04-15,151
70 - 74 años,M,2020-04-15,127
75 - 79 años,M,2020-04-15,88
80 y más años,M,2020-04-15,92
00 - 04 años,F,2020-04-15,46
05 - 09 años,F,2020-04-15,40
10 - 14 años,F,2020-04-15,50
15 - 19 años,F,2020-04-15,121
20 - 24 años,F,2020-04-15,284
25 - 29 años,F,2020-04-15,518
30 - 34 años,F,2020-04-15,550
35 - 39 años,F,2020-04-15,459
40 - 44 años,F,2020-04-15,414
